Name;Matches;Runs;Avg;SR
S Ladda;1;-;-;-
AB Agarkar;4;12;12.00;75.00
MA Agarwal;5;374;37.40;128.52
AN Ahmed;2;13;-;118.18
Anand Rajan;2;11;11.00;183.33
S Anirudha;1;99;16.50;102.06
Ankit Sharma;1;6;6.00;85.71
KB Arun Karthik;12;147;29.40;140.00
A Ashish Reddy;12;169;14.08;129.00
R Ashwin;18;90;15.00;109.75
P Awana;14;3;0.75;15.00
Azhar Mahmood;11;731;19.75;127.35
S Badree;1;27;13.50;93.10
S Badrinath;18;264;22.00;99.24
L Balaji;13;26;13.00;144.44
R Bhatia;15;111;13.87;115.62
BA Bhatt;2;56;14.00;124.44
STR Binny;17;467;24.57;143.25
Bipul Sharma;1;-;-;-
UA Birla;2;108;21.60;120.00
MS Bisla;14;255;19.61;108.05
J Botha;6;114;11.40;97.43
DJ Bravo;18;619;23.80;109.55
JJ Bumrah;2;8;-;88.88
YS Chahal;1;-;-;-
UBT Chand;9;526;27.68;126.74
A Chandila;8;30;15.00;68.18
AA Chavan;3;45;11.25;125.00
PP Chawla;16;151;13.72;130.17
B Chipli;1;16;16.00;88.88
DT Christian;2;331;17.42;111.44
KK Cooper;14;182;12.13;161.06
NM Coulter-Nile;1;132;22.00;145.05
DB Das;10;196;28.00;113.95
Q de Kock;3;863;41.09;136.33
AB de Villiers;14;617;30.85;153.86
R Dhawan;6;122;15.25;96.82
S Dhawan;10;593;39.53;129.47
MS Dhoni;18;596;42.57;161.95
TM Dilshan;5;525;25.00;110.52
AB Dinda;13;9;4.50;81.81
P Dogra;1;124;20.66;89.85
R Dravid;18;519;23.59;105.91
JP Faulkner;16;150;13.63;114.50
AJ Finch;14;993;38.19;147.32
G Gambhir;16;474;29.62;119.39
CM Gautam;3;114;19.00;128.08
CH Gayle;16;1344;49.77;149.66
AC Gilchrist;13;294;24.50;128.38
RV Gomez;2;136;34.00;170.00
MS Gony;8;81;10.12;165.30
Gurkeerat Singh;11;338;21.12;127.06
Harbhajan Singh;19;131;18.71;154.11
Harmeet Singh;3;3;3.00;75.00
Harmeet Singh;1;3;3.00;75.00
RJ Harris;3;2;2.00;40.00
MC Henriques;10;234;29.25;123.80
BJ Hodge;17;983;42.73;141.84
GB Hogg;1;1;0.50;25.00
JO Holder;6;63;9.00;110.52
DJ Hussey;12;673;33.65;127.22
MEK Hussey;17;988;47.04;130.34
Iqbal Abdulla;5;19;6.33;59.37
RA Jadeja;18;206;18.72;140.13
KM Jadhav;12;329;27.41;148.19
DPMD Jayawardene;15;509;21.20;114.63
MG Johnson;17;42;10.50;102.43
MC Juneja;7;393;30.23;135.05
JH Kallis;16;311;20.73;96.58
KD Karthik;19;662;28.78;127.06
M Kartik;11;56;18.66;155.55
S Kaul;6;25;-;108.69
Z Khan;2;-;-;-
V Kohli;16;663;44.20;138.41
DS Kulkarni;6;19;9.50;82.60
B Kumar;16;52;7.42;73.23
P Kumar;15;120;17.14;129.03
B Laughlin;2;20;10.00;74.07
B Lee;3;32;10.66;110.34
BB McCullum;1;354;35.40;140.47
AB McDonald;1;0;0.00;0.00
R McLaren;2;98;16.33;122.50
VS Malik;3;70;14.00;104.47
SL Malinga;17;13;1.85;43.33
Mandeep Singh;16;423;19.22;116.52
M Manhas;3;13;-;76.47
MR Marsh;9;226;25.11;126.25
SE Marsh;8;710;37.36;116.39
AD Mascarenhas;1;76;15.20;133.33
AD Mathews;11;361;25.78;119.93
GJ Maxwell;3;369;18.45;147.60
AL Menaria;1;58;14.50;123.40
BAW Mendis;3;2;2.00;40.00
BMAJ Mendis;3;162;16.20;116.54
DA Miller;12;749;39.42;142.66
A Mishra;17;116;12.88;76.31
A Mithun;1;11;5.50;137.50
Mohammed Shami;3;7;7.00;58.33
EJG Morgan;14;569;28.45;127.86
JA Morkel;8;408;20.40;127.10
M Morkel;10;65;9.28;180.55
CH Morris;16;86;12.28;113.15
A Mukund;1;204;68.00;110.86
M Muralitharan;6;0;0.00;0.00
AG Murtaza;3;18;9.00;112.50
S Nadeem;12;51;8.50;102.00
KK Nair;2;132;18.85;128.15
DP Nannes;5;0;-;-
SP Narine;16;105;10.50;141.89
S Narwal;2;107;21.40;155.07
AM Nayar;11;120;12.00;112.14
P Negi;1;55;13.75;94.82
A Nehra;10;1;0.25;12.50
MG Neser;1;31;31.00;114.81
NV Ojha;2;146;24.33;119.67
PP Ojha;16;2;2.00;50.00
JDP Oram;1;99;14.14;102.06
IC Pandey;2;25;8.33;166.66
MK Pandey;7;392;28.00;104.25
WD Parnell;4;55;7.85;85.93
Parvez Rasool;2;109;21.80;91.59
MM Patel;4;3;-;100.00
PA Patel;13;668;23.85;120.79
IK Pathan;15;189;18.90;96.92
YK Pathan;16;376;25.06;138.74
MDKJ Perera;2;499;31.18;129.61
NLTC Perera;16;515;32.18;155.12
KA Pollard;18;956;36.76;144.62
LA Pomersbach;3;367;40.77;124.82
RT Ponting;6;273;16.05;91.91
