Name;Matches;Runs;Avg;SR
VR Aaron;10;35;-;102.94
MA Agarwal;8;115;14.37;126.37
AN Ahmed;4;4;-;400.00
CJ Anderson;12;265;29.44;146.40
S Anirudha;1;3;3.00;60.00
Ankit Sharma;3;34;17.00;113.33
R Ashwin;16;45;15.00;100.00
P Awana;7;-;-;-
S Badree;4;-;-;-
GJ Bailey;17;257;28.55;135.26
L Balaji;9;1;1.00;33.33
R Bhatia;12;67;13.40;126.41
STR Binny;13;123;12.30;101.65
MS Bisla;1;3;3.00;33.33
DJ Bravo;1;8;-;266.66
JJ Bumrah;11;1;-;33.33
YS Chahal;14;1;-;100.00
UBT Chand;1;2;2.00;22.22
PP Chawla;11;31;10.33;163.15
KK Cooper;5;39;13.00;150.00
NM Coulter-Nile;2;0;-;-
PJ Cummins;1;-;-;-
BCJ Cutting;1;8;8.00;133.33
Q de Kock;7;153;21.85;117.69
M de Lange;1;1;1.00;50.00
AB de Villiers;14;395;35.90;158.63
R Dhawan;13;82;41.00;109.33
S Dhawan;14;377;29.00;118.18
MS Dhoni;16;371;74.20;148.40
AB Dinda;9;4;4.00;33.33
JP Duminy;14;410;51.25;134.42
BR Dunk;3;40;13.33;114.28
F du Plessis;15;303;27.54;128.93
JP Faulkner;13;181;45.25;192.55
AJ Finch;13;309;28.09;117.49
G Gambhir;16;335;22.33;114.33
CM Gautam;9;121;17.28;109.00
CH Gayle;9;196;21.77;106.52
S Gopal;4;11;11.00;110.00
Harbhajan Singh;14;28;5.60;112.00
JW Hastings;1;-;-;-
BE Hendricks;3;0;0.00;0.00
MC Henriques;4;9;4.50;64.28
BW Hilfenhaus;8;0;-;-
BJ Hodge;4;101;33.66;140.27
JO Holder;1;16;16.00;133.33
DJ Hussey;5;116;58.00;123.40
MEK Hussey;9;209;23.22;114.83
Imran Tahir;6;8;4.00;80.00
Iqbal Abdulla;1;-;-;-
RA Jadeja;16;146;29.20;132.72
KM Jadhav;10;149;29.80;147.52
SB Jakati;1;-;-;-
MG Johnson;14;56;18.66;112.00
JH Kallis;8;151;25.16;117.05
Karanveer Singh;5;1;-;100.00
KD Karthik;14;325;23.21;125.96
