Name;Runs;Avg;SR
VR Aaron;35;-;102.94
MA Agarwal;115;14.37;126.37
AN Ahmed;4;-;400.00
CJ Anderson;265;29.44;146.40
S Anirudha;3;3.00;60.00
Ankit Sharma;34;17.00;113.33
R Ashwin;45;15.00;100.00
P Awana;-;-;-
S Badree;-;-;-
GJ Bailey;257;28.55;135.26
L Balaji;1;1.00;33.33
R Bhatia;67;13.40;126.41
STR Binny;123;12.30;101.65
MS Bisla;3;3.00;33.33
DJ Bravo;8;-;266.66
JJ Bumrah;1;-;33.33
YS Chahal;1;-;100.00
UBT Chand;2;2.00;22.22
PP Chawla;31;10.33;163.15
KK Cooper;39;13.00;150.00
NM Coulter-Nile;0;-;-
PJ Cummins;-;-;-
BCJ Cutting;8;8.00;133.33
Q de Kock;153;21.85;117.69
M de Lange;1;1.00;50.00
AB de Villiers;395;35.90;158.63
R Dhawan;82;41.00;109.33
S Dhawan;377;29.00;118.18
MS Dhoni;371;74.20;148.40
AB Dinda;4;4.00;33.33
JP Duminy;410;51.25;134.42
BR Dunk;40;13.33;114.28
F du Plessis;303;27.54;128.93
JP Faulkner;181;45.25;192.55
AJ Finch;309;28.09;117.49
G Gambhir;335;22.33;114.33
CM Gautam;121;17.28;109.00
CH Gayle;196;21.77;106.52
S Gopal;11;11.00;110.00
Harbhajan Singh;28;5.60;112.00
JW Hastings;-;-;-
BE Hendricks;0;0.00;0.00
MC Henriques;9;4.50;64.28
BW Hilfenhaus;0;-;-
BJ Hodge;101;33.66;140.27
JO Holder;16;16.00;133.33
DJ Hussey;116;58.00;123.40
MEK Hussey;209;23.22;114.83
Imran Tahir;8;4.00;80.00
Iqbal Abdulla;-;-;-
RA Jadeja;146;29.20;132.72
KM Jadhav;149;29.80;147.52
SB Jakati;-;-;-
MG Johnson;56;18.66;112.00
JH Kallis;151;25.16;117.05
Karanveer Singh;1;-;100.00
KD Karthik;325;23.21;125.96
M Kartik;-;-;-
S Kaul;2;-;100.00
Z Khan;8;8.00;114.28
V Kohli;359;27.61;122.10
DS Kulkarni;35;-;140.00
B Kumar;1;1.00;25.00
P Kumar;1;1.00;50.00
CA Lynn;58;29.00;118.36
BB McCullum;405;31.15;121.62
NJ Maddinson;16;8.00;114.28
VS Malik;1;-;50.00
SL Malinga;2;2.00;50.00
Mandeep Singh;24;8.00;92.30
M Manhas;35;17.50;152.17
SE Marsh;70;35.00;134.61
GJ Maxwell;552;34.50;187.75
DA Miller;446;44.60;149.16
A Mishra;4;4.00;57.14
Mohammed Shami;3;1.50;42.85
JA Morkel;45;15.00;109.75
M Morkel;4;-;133.33
M Muralitharan;-;-;-
S Nadeem;7;3.50;36.84
KK Nair;330;33.00;142.24
SP Narine;10;5.00;71.42
AM Nayar;43;14.33;91.48
JDS Neesham;42;14.00;91.30
P Negi;-;-;-
A Nehra;-;-;-
NV Ojha;232;38.66;144.09
PP Ojha;4;4.00;50.00
IC Pandey;-;-;-
MK Pandey;401;30.84;117.94
WD Parnell;2;2.00;100.00
Parvez Rasool;0;-;-
AR Patel;62;10.33;103.33
HV Patel;13;6.50;185.71
PA Patel;205;20.50;110.81
IK Pathan;55;27.50;101.85
YK Pathan;268;29.77;162.42
KP Pietersen;294;29.40;126.18
KA Pollard;273;34.12;134.48
CA Pujara;125;25.00;100.80
AM Rahane;339;28.25;116.49
KL Rahul;166;20.75;101.21
SK Raina;523;40.23;145.68
R Rampaul;13;13.00;100.00
S Rana;73;24.33;112.30
AT Rayudu;361;25.78;125.78
KW Richardson;1;1.00;50.00
RR Rossouw;39;13.00;95.12
AD Russell;2;1.00;25.00
WP Saha;362;32.90;145.38
DJG Sammy;108;15.42;118.68
SV Samson;339;26.07;124.17
Sandeep Sharma;2;-;40.00
K Santokie;-;-;-
V Sehwag;455;26.76;144.44
V Shankar;-;-;-
Shakib Al Hasan;227;32.42;149.34
I Sharma;-;-;-
KV Sharma;42;10.50;144.82
MM Sharma;1;-;33.33
R Sharma;-;-;-
RG Sharma;390;30.00;129.13
Shivam Sharma;5;5.00;166.66
LR Shukla;31;10.33;81.57
R Shukla;18;18.00;85.71
LMP Simmons;394;56.28;135.39
DR Smith;566;35.37;136.05
SPD Smith;147;36.75;133.63
TG Southee;4;4.00;100.00
MA Starc;85;14.16;101.19
DW Steyn;22;7.33;84.61
P Suyal;-;-;-
YV Takawale;104;20.80;114.28
PV Tambe;5;2.50;55.55
AP Tare;126;15.75;128.57
LRPL Taylor;59;19.66;100.00
RN ten Doeschate;52;13.00;157.57
R Tewatia;16;16.00;123.07
MK Tiwary;152;30.40;128.81
JD Unadkat;1;1.00;16.66
RV Uthappa;660;44.00;137.78
Y Venugopal Rao;71;23.66;112.69
M Vijay;207;18.81;107.81
R Vinay Kumar;4;2.00;66.66
M Vohra;324;40.50;139.05
DA Warner;528;48.00;140.80
SR Watson;240;20.00;122.44
SA Yadav;164;32.80;140.17
UT Yadav;2;2.00;50.00
DH Yagnik;4;-;66.66
Yuvraj Singh;376;34.18;135.25
VH Zol;29;14.50;111.53
