Name;Matches;Runs;Avg;SR
A Mangaraj;8;1;1.00;100.00
H Ahmed;3;3;3.00;33.33
R Jangid;1;10;10.00;125.00
AR Bawne;1;36;36.00;120.00
CG Khurana;3;56;18.66;107.69
PK Panchal;9;216;24.00;124.13
N Niyas;1;-;-;-
PSK Gupta;4;139;34.75;126.36
AV Vasavada;4;24;24.00;133.33
PK Debnath;2;27;27.00;108.00
MUB Sriram;2;31;15.50;88.57
RP Dahiya;9;32;10.66;94.11
LL Samal;2;1;1.00;50.00
Sumeet Verma;9;11;2.75;57.89
Swapan Das;3;28;28.00;186.66
MB Patel;3;7;-;25.92
MAH Hammond;1;-;-;-
K de Thissera;1;2;2.00;25.00
AD Shanware;1;23;23.00;95.83
Aamer Ijaz;8;85;14.16;100.00
Aamer Yamin;13;152;38.00;156.70
Aamir Kaleem;11;202;28.85;127.04
Aaqib Sulehri;4;31;10.33;81.57
VR Aaron;8;18;9.00;90.00
KJ Abbott;23;28;14.00;103.70
SA Abbott;13;57;7.12;101.78
Abdullah Al Mamun;1;20;20.00;86.95
Abdul Ameer;10;2;-;40.00
Abdul Rauf;2;5;5.00;29.41
Abdul Shakoor;6;59;19.66;111.32
Abdul Shakoor;3;35;35.00;129.62
Abdur Razzak;5;16;8.00;76.19
Abdur Rehman;11;59;14.75;151.28
L Abeyratne;7;92;23.00;139.39
Abid Ali;4;34;17.00;121.42
Abid Ali;3;42;21.00;80.76
GJ Abrahams;4;39;9.75;81.25
Abul Hasan;10;59;11.80;93.65
Abu Hider;12;19;-;271.42
Abu Jayed;9;0;0.00;0.00
KK Acharjee;4;27;13.50;108.00
MJ Ackerman;3;106;53.00;117.77
CN Ackermann;9;347;49.57;117.22
AD Nath;4;61;20.33;98.38
FD Adams;6;19;9.50;86.36
JHK Adams;10;152;16.88;132.17
MQ Adams;8;121;30.25;119.80
Adeel Malik;6;98;49.00;148.48
KVA Adikari;7;85;14.16;94.44
Adil Amin;10;174;43.50;119.17
Adil Bhatti;6;33;8.25;84.61
Adil Reshi;5;94;18.80;97.91
Adnan Akmal;4;23;11.50;100.00
Adnan Ilyas;6;163;27.16;107.23
Adnan Raees;8;155;38.75;142.20
Afaq Raheem;5;176;44.00;141.93
Afraz Khoso;3;7;7.00;100.00
Aftabuddin Alam;2;19;9.50;79.16
Aftab Alam;3;0;0.00;0.00
Aftab Niazi;2;25;12.50;80.64
AC Agar;7;62;31.00;95.38
MA Agarwal;15;379;29.15;123.85
TD Agarwal;9;194;21.55;114.79
AP Agathangelou;6;77;15.40;114.92
Agha Salman;4;3;3.00;100.00
AN Ahmed;7;45;22.50;180.00
RI Ahmed;2;38;19.00;76.00
Ahmed Butt;6;21;5.25;87.50
Ahmed Jamal;5;5;2.50;83.33
Ahmed Rasheed;2;28;14.00;175.00
Ahmed Raza;3;3;-;75.00
Ahmed Shah;1;-;-;-
Ahmed Shehzad;25;641;27.86;117.83
Ahsan Ali;5;194;38.80;135.66
Ahsan Jamil;1;-;-;-
Ahsan Malik;7;2;-;50.00
PS Airee;10;61;7.62;92.42
Aizaz Khan;11;87;17.40;126.08
Aizaz Cheema;7;2;2.00;28.57
Al-Amin;6;65;10.83;114.03
CJ Alexander;9;3;1.50;42.85
AM Ali;2;30;15.00;125.00
MM Ali;10;320;35.55;162.43
Ali Ahmed;1;-;-;-
Ali Asghar;3;3;-;75.00
Ali Khan;5;21;7.00;116.66
Ali Shan;7;67;13.40;95.71
J Allenby;12;295;29.50;137.20
Alok Kapali;10;95;31.66;118.75
Al-Amin Hossain;15;7;7.00;46.66
Amad Butt;3;18;-;128.57
TR Ambrose;16;202;28.85;118.12
CJA Amini;6;70;17.50;92.10
Amir Ali;10;79;15.80;123.43
Amir Hamza;2;-;-;-
Amit Kumar;3;8;4.00;50.00
Amit Verma;5;48;12.00;66.66
Amit Yadav;5;55;13.75;137.50
Amjad Ali;2;16;16.00;69.56
Amjad Gul;2;25;12.50;108.69
Amjad Javed;2;23;11.50;104.54
HM Amla;7;188;26.85;123.68
Ammar Ali;2;16;8.00;76.19
AAA Amsterdam;5;90;22.50;86.53
Anamul Haque;12;190;19.00;102.70
J Anand;1;12;12.00;150.00
Anas Khan;1;-;-;-
CJ Anderson;10;267;38.14;135.53
J Anderson;4;12;6.00;66.66
S Anirudha;5;77;19.25;106.94
Ankit Sharma;8;33;16.50;113.79
Anmolpreet Singh;2;14;14.00;100.00
M Ansari;11;0;-;0.00
AA Ansari;2;10;10.00;166.66
ZS Ansari;11;201;40.20;164.75
Anshuman Rath;11;135;15.00;76.27
W Antony Dhas;5;20;20.00;181.81
Anurag Singh;3;-;-;-
Anureet Singh;17;19;6.33;59.37
PSR Anurudda;3;1;1.00;20.00
Anwar Ali;21;163;16.30;161.38
B Aparajith;4;56;18.66;90.32
MA Aponso;6;17;17.00;89.47
Aqib Javed;4;26;6.50;61.90
SSD Arachchige;1;18;-;150.00
Arafat Sunny;15;24;6.00;72.72
S Aravind;9;10;10.00;125.00
Ariful Haque;2;13;13.00;100.00
BJ Arnel;9;12;12.00;63.15
M Arnold;4;14;4.66;87.50
RT Arothe;3;0;-;-
U Arshad;13;65;10.83;116.07
KB Arun Karthik;4;31;10.33;124.00
Arun Lal;4;35;17.50;129.62
Asad Afridi;2;70;35.00;148.93
Asad Ali;3;6;6.00;150.00
Asad Shafiq;14;263;26.30;117.41
Asghar Stanikzai;12;238;23.80;104.38
Ashar Zaidi;12;215;53.75;138.70
A Ashish Reddy;13;120;15.00;131.86
Ashish Yadav;4;25;25.00;156.25
SH Ashraf;7;24;8.00;80.00
R Ashwin;16;63;15.75;134.04
K Ashwin Hebbar;6;73;36.50;97.33
Asif Afridi;3;23;23.00;209.09
Asif Ahmed;4;34;34.00;117.24
Asif Ali;8;141;17.62;118.48
Asif Ali;3;17;5.66;73.91
Asif Babar;3;128;64.00;170.66
Asif Hasan;5;4;-;44.44
Asif Khan;3;18;9.00;46.15
MNM Aslam;6;84;14.00;106.32
RD Asnodkar;3;35;11.66;89.74
SA Asnodkar;5;58;11.60;101.75
H Asnora;2;8;4.00;61.53
TD Astle;10;46;9.20;76.66
A Aswin Crist;5;27;27.00;90.00
Ataullah;4;-;-;-
DNA Athulathmudali;8;208;26.00;142.46
JJ Atkinson;7;182;36.40;138.93
CJ August;4;15;-;115.38
KC Avinash;2;10;10.00;83.33
Avinash Yadav;2;-;-;-
SE Avontuur;1;39;39.00;108.33
Awais Zia;5;75;15.00;153.06
P Awana;1;-;-;-
Ayaz Jamali;3;37;12.33;127.58
Ayaz Khan;1;-;-;-
Ayaz Tasawwar;5;78;26.00;123.80
B Ayyappa;9;32;10.66;80.00
Azam Hussain;3;2;-;66.66
Azam Khan;2;-;-;-
Azeem Ghumman;5;128;25.60;106.66
