Name;Matches;Runs;Avg;SR
VR Aaron;6;6;6.00;200.00
SA Abbott;2;15;7.50;115.38
MA Agarwal;10;213;23.66;120.33
AN Ahmed;3;10;10.00;200.00
CJ Anderson;4;114;38.00;117.52
Ankit Sharma;4;7;7.00;116.66
Anureet Singh;14;18;6.00;58.06
S Aravind;5;0;-;0.00
A Ashish Reddy;6;73;24.33;158.69
R Ashwin;14;52;17.33;162.50
Azhar Mahmood;1;6;6.00;85.71
GJ Bailey;13;259;23.54;136.31
R Bhatia;2;0;0.00;0.00
STR Binny;13;74;18.50;112.12
Bipul Sharma;4;1;1.00;50.00
MS Bisla;2;37;18.50;123.33
RS Bopara;9;145;29.00;120.83
J Botha;4;31;10.33;206.66
TA Boult;7;-;-;-
DJ Bravo;17;195;21.66;131.75
JJ Bumrah;4;0;-;-
KC Cariappa;1;-;-;-
YS Chahal;15;1;-;100.00
UBT Chand;6;102;20.40;122.89
PP Chawla;13;54;13.50;114.89
NM Coulter-Nile;11;20;5.00;111.11
PJ Cummins;3;0;0.00;0.00
Q de Kock;3;122;40.66;158.44
M de Lange;1;-;-;-
AB de Villiers;16;513;46.63;175.08
R Dhawan;5;36;18.00;109.09
S Dhawan;14;353;27.15;123.42
MS Dhoni;17;372;31.00;121.96
AB Dinda;2;-;-;-
JP Duminy;14;414;41.40;131.42
F du Plessis;17;380;29.23;125.00
JP Faulkner;13;144;18.00;132.11
AJ Finch;3;23;11.50;69.69
G Gambhir;13;327;25.15;117.62
CM Gautam;1;4;4.00;80.00
CH Gayle;14;491;40.91;147.44
S Gopal;1;1;-;100.00
Gurkeerat Singh;5;35;7.00;89.74
Harbhajan Singh;15;117;16.71;160.27
BE Hendricks;4;1;-;50.00
MC Henriques;9;287;41.00;136.01
GB Hogg;6;7;7.00;116.66
DJ Hooda;14;151;16.77;158.94
MEK Hussey;4;77;19.25;110.00
Imran Tahir;10;5;5.00;83.33
Iqbal Abdulla;5;20;10.00;111.11
SS Iyer;14;439;33.76;128.36
RA Jadeja;17;132;18.85;104.76
KM Jadhav;14;189;23.62;135.00
MG Johnson;9;31;7.75;86.11
Karanveer Singh;4;11;11.00;68.75
KD Karthik;16;141;12.81;120.51
SN Khan;13;111;27.75;156.33
Z Khan;7;-;-;-
V Kohli;16;505;45.90;130.82
DS Kulkarni;11;4;2.00;36.36
B Kumar;14;17;17.00;170.00
P Kumar;12;17;5.66;68.00
MJ McClenaghan;12;13;13.00;216.66
BB McCullum;14;436;33.53;155.71
NJ Maddinson;1;4;4.00;57.14
SL Malinga;15;6;-;60.00
Mandeep Singh;14;157;22.42;157.00
SE Marsh;4;81;20.25;139.65
AD Mathews;11;144;20.57;138.46
GJ Maxwell;11;145;13.18;129.46
DA Miller;13;357;32.45;134.21
A Mishra;12;8;4.00;66.66
RG More;2;2;-;100.00
EJG Morgan;9;187;23.37;123.84
JA Morkel;4;86;86.00;132.30
M Morkel;7;4;-;133.33
CH Morris;11;76;38.00;165.21
DJ Muthuswami;6;1;1.00;33.33
S Nadeem;4;2;2.00;28.57
KK Nair;14;181;16.45;124.82
SP Narine;8;0;-;0.00
P Negi;10;116;14.50;158.90
A Nehra;16;1;1.00;14.28
NV Ojha;14;137;13.70;113.22
PP Ojha;1;-;-;-
IC Pandey;10;-;-;-
MK Pandey;13;225;20.45;122.28
HH Pandya;9;112;22.40;180.64
Parvez Rasool;2;2;-;100.00
AR Patel;14;206;22.88;118.39
HV Patel;15;19;3.80;158.33
PA Patel;14;339;26.07;137.80
YK Pathan;13;312;44.57;135.06
NLTC Perera;2;12;6.00;80.00
KA Pollard;16;419;38.09;163.67
AM Rahane;14;540;49.09;130.75
KL Rahul;9;142;28.40;112.69
SK Raina;17;374;24.93;122.62
AT Rayudu;15;281;31.22;145.59
RR Rossouw;2;14;7.00;140.00
AD Russell;13;326;36.22;192.89
WP Saha;14;249;19.15;126.39
DJG Sammy;2;13;6.50;72.22
SV Samson;14;204;20.40;125.15
Sandeep Sharma;14;9;9.00;64.28
GS Sandhu;3;-;-;-
V Sehwag;8;99;12.37;117.85
Shakib Al Hasan;4;36;12.00;133.33
I Sharma;4;-;-;-
KV Sharma;14;104;17.33;122.35
MM Sharma;16;28;9.33;155.55
RG Sharma;16;482;34.42;144.74
Shivam Sharma;1;-;-;-
LMP Simmons;13;540;45.00;122.44
DR Smith;16;399;24.93;119.10
SPD Smith;14;293;26.63;132.57
TG Southee;7;13;13.00;144.44
BB Sran;1;-;-;-
MA Starc;13;11;11.00;78.57
DW Steyn;6;20;20.00;153.84
J Suchith;13;48;48.00;150.00
P Suyal;3;-;-;-
PV Tambe;10;3;-;60.00
AP Tare;2;14;7.00;82.35
RN ten Doeschate;6;61;20.33;135.55
R Tewatia;1;-;-;-
SN Thakur;1;7;-;116.66
J Theron;1;1;-;100.00
MK Tiwary;5;57;28.50;101.78
SS Tiwary;7;109;-;139.74
JD Unadkat;1;-;-;-
RV Uthappa;13;364;30.33;131.40
GH Vihari;5;39;9.75;111.42
M Vijay;11;251;22.81;110.08
R Vinay Kumar;13;0;0.00;0.00
M Vohra;7;82;11.71;101.23
DA Warner;14;562;43.23;156.54
SR Watson;10;347;43.37;135.01
D Wiese;14;122;30.50;141.86
KS Williamson;2;31;31.00;114.81
J Yadav;3;-;-;-
SA Yadav;13;157;17.44;138.93
UT Yadav;12;29;29.00;207.14
Yuvraj Singh;14;248;19.07;118.09
